,Make,Model,Variant,Ex-Showroom_Price,Drivetrain,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Length,Body_Type,Doors,ARAI_Certified_Mileage,Seating_Capacity,Type,Battery,Electric_Range
33,Maruti Suzuki,Alto K10,Lxi Cng (O),"Rs. 4,39,777",FWD ,BS IV,35 litres,CNG,3545 mm,Hatchback,5,#REF!,5,Manual,,
34,Maruti Suzuki,Alto K10,Vxi Amt (O),"2,92,667",FWD ,BS IV,35 litres,Petrol,3545 mm,Hatchback,5,24.07 km/litre,5,Automatic,,
35,Datsun,Go,D,"2,92,667",FWD ,BS IV,35 litres,Petrol,3788 mm,Hatchback,5,20.1 km/litre,5,Manual,,
36,Datsun,Go,T,"2,92,667",FWD ,BS IV,35 litres,Petrol,3788 mm,Hatchback,5,20.1 km/litre,5,Manual,,
37,Datsun,Go,T (O),"2,92,667",FWD ,BS IV,35 litres,Petrol,3788 mm,Hatchback,5,20.1 km/litre,5,Manual,,
38,Datsun,Go,A (O),"2,92,667",FWD ,BS IV,35 litres,Petrol,3788 mm,Hatchback,5,20.1 km/litre,5,Manual,,
39,Datsun,Go,A,"2,92,667",FWD ,BS IV,35 litres,Petrol,3788 mm,Hatchback,5,20.1 km/litre,5,Manual,,
40,Datsun,Go,T Vdc,"2,92,667",FWD ,BS IV,35 litres,Petrol,3788 mm,Hatchback,5,20.1 km/litre,5,Manual,,
41,Datsun,Go,T (O) Vdc,"2,92,667",FWD ,BS IV,35 litres,Petrol,3788 mm,Hatchback,5,20.1 km/litre,5,Manual,,
42,Datsun,Go,T Cvt,"2,92,667",FWD ,BS IV,35 litres,Petrol,3788 mm,Hatchback,5,20.1 km/litre,5,Manual,,
43,Datsun,Go,T (O) Cvt,"2,92,667",FWD ,BS IV,35 litres,Petrol,3788 mm,Hatchback,5,20.1 km/litre,5,Manual,,
44,Maruti Suzuki,Celerio Tour,H2,"2,92,667",FWD ,BS IV,35 litres,Petrol,3600 mm,Hatchback,5,23.1 km/litre,5,Manual,,
45,Maruti Suzuki,Celerio Tour,H2 Cng,"Rs. 4,80,670",FWD ,BS IV,60 litres,CNG,3695 mm,Hatchback,5,#REF!,5,Manual,,
46,Hyundai,Santro,Era Mt,"2,92,667",FWD ,BS IV,35 litres,Petrol,3610 mm,Hatchback,4,20.3 km/litre,5,Manual,,
47,Hyundai,Santro,Magna Mt,"2,92,667",FWD ,BS IV,35 litres,Petrol,3610 mm,Hatchback,4,20.3 km/litre,5,Manual,,
48,Hyundai,Santro,Magna Mt Cng,"Rs. 5,47,990",FWD ,BS IV,35 litres,CNG,3610 mm,Hatchback,4,#REF!,5,Manual,,
49,Hyundai,Santro,Magna Amt,"2,92,667",FWD ,BS IV,35 litres,Petrol,3610 mm,Hatchback,4,20.3 km/litre,5,AMT,,
50,Hyundai,Santro,Sportz Mt,"2,92,667",FWD ,BS IV,35 litres,Petrol,3610 mm,Hatchback,4,20.3 km/litre,5,Manual,,
51,Hyundai,Santro,Sportz Mt Cng,"Rs. 5,78,990",FWD ,BS IV,60 litres,CNG,3610 mm,Hatchback,4,#REF!,5,Manual,,
52,Hyundai,Santro,Sportz Amt,"2,92,667",FWD ,BS IV,35 litres,Petrol,3610 mm,Hatchback,4,20.3 km/litre,5,AMT,,
53,Hyundai,Santro,Asta Mt,"2,92,667",FWD ,BS IV,35 litres,Petrol,3610 mm,Hatchback,4,20.3 km/litre,5,Manual,,
54,Tata,Tiago,Revotron Xe,"2,92,667",FWD ,BS 6,35 litres,Petrol,3765 mm,Hatchback,5,23 km/litre,5,Manual,,
